"tag_id","ts_origin","ts","value_ts"
PowerBi.COU1CD2001CU,2025-07-01 08:07:31.000,2025-07-01 10:07:31.000,"0.427736"
PowerBi.COU1CF001CU,2025-07-01 08:07:31.000,2025-07-01 10:07:31.000,"16.54653"
PowerBi.COU1-RCT-CU,2025-07-01 08:07:31.000,2025-07-01 10:07:31.000,"75.76673"
PowerBi.COU1RD001CU,2025-07-01 08:07:31.000,2025-07-01 10:07:31.000,"1057.251"
PowerBi.COU1CD2001CU,2025-07-01 08:07:31.000,2025-07-01 10:07:31.000,"0.427736"
PowerBi.COU1CF001CU,2025-07-01 08:07:31.000,2025-07-01 10:07:31.000,"16.54653"
PowerBi.COU1-RCT-CU,2025-07-01 08:07:31.000,2025-07-01 10:07:31.000,"75.76673"
PowerBi.COU1RD001CU,2025-07-01 08:07:31.000,2025-07-01 10:07:31.000,"1057.251"
PowerBi.COU1CD2001CU,2025-07-01 08:08:47.000,2025-07-01 10:08:47.000,""
PowerBi.COU1CF001CU,2025-07-01 08:08:47.000,2025-07-01 10:08:47.000,""
PowerBi.COU1-RCT-CU,2025-07-01 08:08:47.000,2025-07-01 10:08:47.000,""
PowerBi.COU1RD001CU,2025-07-01 08:08:47.000,2025-07-01 10:08:47.000,""
PowerBi.COU1CD2001CU,2025-07-01 08:08:47.000,2025-07-01 10:08:47.000,""
PowerBi.COU1CF001CU,2025-07-01 08:08:47.000,2025-07-01 10:08:47.000,""
PowerBi.COU1-RCT-CU,2025-07-01 08:08:47.000,2025-07-01 10:08:47.000,""
PowerBi.COU1RD001CU,2025-07-01 08:08:47.000,2025-07-01 10:08:47.000,""
PowerBi.COU1CD2001CU,2025-07-01 08:09:49.000,2025-07-01 10:09:49.000,"0.3770164"
PowerBi.COU1CF001CU,2025-07-01 08:09:49.000,2025-07-01 10:09:49.000,"18.77729"
PowerBi.COU1RD001CU,2025-07-01 08:09:49.000,2025-07-01 10:09:49.000,"1305.234"
PowerBi.COU1-RCT-CU,2025-07-01 08:09:49.000,2025-07-01 10:09:49.000,"65.83756"
PowerBi.COU1CD2001CU,2025-07-01 08:09:49.000,2025-07-01 10:09:49.000,"0.3770164"
PowerBi.COU1CF001CU,2025-07-01 08:09:49.000,2025-07-01 10:09:49.000,"18.77729"
PowerBi.COU1RD001CU,2025-07-01 08:09:49.000,2025-07-01 10:09:49.000,"1305.234"
PowerBi.COU1-RCT-CU,2025-07-01 08:09:49.000,2025-07-01 10:09:49.000,"65.83756"
PowerBi.COU1CD2001CU,2025-07-01 08:11:48.000,2025-07-01 10:11:48.000,"0.3882098"
PowerBi.COU1CD2001CU,2025-07-01 08:11:48.000,2025-07-01 10:11:48.000,"0.3882098"
PowerBi.COU1-RCT-CU,2025-07-01 08:11:49.000,2025-07-01 10:11:49.000,"66.84277"
PowerBi.COU1-RCT-CU,2025-07-01 08:11:49.000,2025-07-01 10:11:49.000,"66.84277"
PowerBi.COU1RD001CU,2025-07-01 08:14:48.000,2025-07-01 10:14:48.000,"1300.903"
PowerBi.COU1RD001CU,2025-07-01 08:14:48.000,2025-07-01 10:14:48.000,"1300.903"
PowerBi.COU1-RCT-CU,2025-07-01 08:14:49.000,2025-07-01 10:14:49.000,"66.95355"
PowerBi.COU1-RCT-CU,2025-07-01 08:14:49.000,2025-07-01 10:14:49.000,"66.95355"
PowerBi.COU1CF001CU,2025-07-01 08:16:49.000,2025-07-01 10:16:49.000,"16.7315"
PowerBi.COU1-RCT-CU,2025-07-01 08:16:49.000,2025-07-01 10:16:49.000,"67.01071"
PowerBi.COU1CF001CU,2025-07-01 08:16:49.000,2025-07-01 10:16:49.000,"16.7315"
PowerBi.COU1-RCT-CU,2025-07-01 08:16:49.000,2025-07-01 10:16:49.000,"67.01071"
PowerBi.COU1CD2001CU,2025-07-01 08:24:49.000,2025-07-01 10:24:49.000,"0.3664767"
PowerBi.COU1-RCT-CU,2025-07-01 08:24:49.000,2025-07-01 10:24:49.000,"65.00788"
PowerBi.COU1CD2001CU,2025-07-01 08:24:49.000,2025-07-01 10:24:49.000,"0.3664767"
PowerBi.COU1-RCT-CU,2025-07-01 08:24:49.000,2025-07-01 10:24:49.000,"65.00788"
PowerBi.COU1RD001CU,2025-07-01 08:27:48.000,2025-07-01 10:27:48.000,"1396.406"
PowerBi.COU1RD001CU,2025-07-01 08:27:48.000,2025-07-01 10:27:48.000,"1396.406"
PowerBi.COU1-RCT-CU,2025-07-01 08:27:49.000,2025-07-01 10:27:49.000,"62.41739"
PowerBi.COU1-RCT-CU,2025-07-01 08:27:49.000,2025-07-01 10:27:49.000,"62.41739"
PowerBi.COU1CF001CU,2025-07-01 08:28:49.000,2025-07-01 10:28:49.000,"17.63991"
PowerBi.COU1-RCT-CU,2025-07-01 08:28:49.000,2025-07-01 10:28:49.000,"62.39035"
PowerBi.COU1CF001CU,2025-07-01 08:28:49.000,2025-07-01 10:28:49.000,"17.63991"
PowerBi.COU1-RCT-CU,2025-07-01 08:28:49.000,2025-07-01 10:28:49.000,"62.39035"
PowerBi.COU1CD2001CU,2025-07-01 08:37:49.000,2025-07-01 10:37:49.000,"0.3737055"
PowerBi.COU1-RCT-CU,2025-07-01 08:37:49.000,2025-07-01 10:37:49.000,"63.13329"
PowerBi.COU1CD2001CU,2025-07-01 08:37:49.000,2025-07-01 10:37:49.000,"0.3737055"
PowerBi.COU1-RCT-CU,2025-07-01 08:37:49.000,2025-07-01 10:37:49.000,"63.13329"
PowerBi.COU1RD001CU,2025-07-01 08:40:49.000,2025-07-01 10:40:49.000,"1278.432"
PowerBi.COU1-RCT-CU,2025-07-01 08:40:49.000,2025-07-01 10:40:49.000,"66.27067"
PowerBi.COU1RD001CU,2025-07-01 08:40:49.000,2025-07-01 10:40:49.000,"1278.432"
PowerBi.COU1-RCT-CU,2025-07-01 08:40:49.000,2025-07-01 10:40:49.000,"66.27067"
PowerBi.COU1CF001CU,2025-07-01 08:41:48.000,2025-07-01 10:41:48.000,"17.18018"
PowerBi.COU1-RCT-CU,2025-07-01 08:41:48.000,2025-07-01 10:41:48.000,"66.28362"
PowerBi.COU1CF001CU,2025-07-01 08:41:48.000,2025-07-01 10:41:48.000,"17.18018"
PowerBi.COU1-RCT-CU,2025-07-01 08:41:48.000,2025-07-01 10:41:48.000,"66.28362"
PowerBi.COU1CD2001CU,2025-07-01 08:50:49.000,2025-07-01 10:50:49.000,"0.3780721"
PowerBi.COU1-RCT-CU,2025-07-01 08:50:49.000,2025-07-01 10:50:49.000,"66.68169"
PowerBi.COU1CD2001CU,2025-07-01 08:50:49.000,2025-07-01 10:50:49.000,"0.3780721"
PowerBi.COU1-RCT-CU,2025-07-01 08:50:49.000,2025-07-01 10:50:49.000,"66.68169"
PowerBi.COU1RD001CU,2025-07-01 08:53:49.000,2025-07-01 10:53:49.000,"1264.292"
PowerBi.COU1-RCT-CU,2025-07-01 08:53:49.000,2025-07-01 10:53:49.000,"67.05296"
PowerBi.COU1RD001CU,2025-07-01 08:53:49.000,2025-07-01 10:53:49.000,"1264.292"
PowerBi.COU1-RCT-CU,2025-07-01 08:53:49.000,2025-07-01 10:53:49.000,"67.05296"
PowerBi.COU1CF001CU,2025-07-01 08:54:49.000,2025-07-01 10:54:49.000,"17.52232"
PowerBi.COU1-RCT-CU,2025-07-01 08:54:49.000,2025-07-01 10:54:49.000,"67.04325"
PowerBi.COU1CF001CU,2025-07-01 08:54:49.000,2025-07-01 10:54:49.000,"17.52232"
PowerBi.COU1-RCT-CU,2025-07-01 08:54:49.000,2025-07-01 10:54:49.000,"67.04325"
PowerBi.COU1CD2001CU,2025-07-01 09:03:49.000,2025-07-01 11:03:49.000,"0.3549959"
PowerBi.COU1-RCT-CU,2025-07-01 09:03:49.000,2025-07-01 11:03:49.000,"64.85368"
PowerBi.COU1CD2001CU,2025-07-01 09:03:49.000,2025-07-01 11:03:49.000,"0.3549959"
PowerBi.COU1-RCT-CU,2025-07-01 09:03:49.000,2025-07-01 11:03:49.000,"64.85368"
PowerBi.COU1RD001CU,2025-07-01 09:06:49.000,2025-07-01 11:06:49.000,"1259.37"
