"tag_id","ts_origin","ts","value_ts"
PowerBi.COU1-RCT-CU,2025-05-31 22:05:34.000,2025-06-01 00:05:34.000,"78.79964"
PowerBi.COU1CD2001CU,2025-05-31 22:05:35.000,2025-06-01 00:05:35.000,"0.3796349"
PowerBi.COU1-RCT-CU,2025-05-31 22:08:35.000,2025-06-01 00:08:35.000,"78.21869"
PowerBi.COU1RD001CU,2025-05-31 22:08:35.000,2025-06-01 00:08:35.000,"841.4442"
PowerBi.COU1-RCT-CU,2025-05-31 22:09:34.000,2025-06-01 00:09:34.000,"78.22762"
PowerBi.COU1CF001CU,2025-05-31 22:09:34.000,2025-06-01 00:09:34.000,"16.78427"
PowerBi.COU1-RCT-CU,2025-05-31 22:17:34.000,2025-06-01 00:17:34.000,"79.13226"
PowerBi.COU1CD2001CU,2025-05-31 22:17:35.000,2025-06-01 00:17:35.000,"0.3957047"
PowerBi.COU1-RCT-CU,2025-05-31 22:20:35.000,2025-06-01 00:20:35.000,"79.83071"
PowerBi.COU1RD001CU,2025-05-31 22:20:35.000,2025-06-01 00:20:35.000,"813.4177"
PowerBi.COU1-RCT-CU,2025-05-31 22:21:35.000,2025-06-01 00:21:35.000,"79.81969"
PowerBi.COU1CF001CU,2025-05-31 22:21:35.000,2025-06-01 00:21:35.000,"17.27405"
PowerBi.COU1-RCT-CU,2025-05-31 22:29:35.000,2025-06-01 00:29:35.000,"80.25698"
PowerBi.COU1CD2001CU,2025-05-31 22:29:35.000,2025-06-01 00:29:35.000,"0.4042642"
PowerBi.COU1-RCT-CU,2025-05-31 22:32:34.000,2025-06-01 00:32:34.000,"79.99817"
PowerBi.COU1RD001CU,2025-05-31 22:32:35.000,2025-06-01 00:32:35.000,"824.0301"
PowerBi.COU1-RCT-CU,2025-05-31 22:33:34.000,2025-06-01 00:33:34.000,"79.9767"
PowerBi.COU1CF001CU,2025-05-31 22:33:34.000,2025-06-01 00:33:34.000,"18.29869"
PowerBi.COU1-RCT-CU,2025-05-31 22:41:35.000,2025-06-01 00:41:35.000,"79.40063"
PowerBi.COU1CD2001CU,2025-05-31 22:41:35.000,2025-06-01 00:41:35.000,"0.3932017"
PowerBi.COU1-RCT-CU,2025-05-31 22:44:34.000,2025-06-01 00:44:34.000,"79.83346"
PowerBi.COU1RD001CU,2025-05-31 22:44:35.000,2025-06-01 00:44:35.000,"806.792"
PowerBi.COU1-RCT-CU,2025-05-31 22:46:35.000,2025-06-01 00:46:35.000,"79.82366"
PowerBi.COU1CF001CU,2025-05-31 22:46:35.000,2025-06-01 00:46:35.000,"18.81987"
PowerBi.COU1-RCT-CU,2025-05-31 22:54:34.000,2025-06-01 00:54:34.000,"80.0677"
PowerBi.COU1CD2001CU,2025-05-31 22:54:35.000,2025-06-01 00:54:35.000,"0.397914"
PowerBi.COU1RD001CU,2025-05-31 22:56:35.000,2025-06-01 00:56:35.000,"808.3306"
PowerBi.COU1-RCT-CU,2025-05-31 22:57:34.000,2025-06-01 00:57:34.000,"80.02953"
PowerBi.COU1-RCT-CU,2025-05-31 22:58:35.000,2025-06-01 00:58:35.000,"80.0201"
PowerBi.COU1CF001CU,2025-05-31 22:58:35.000,2025-06-01 00:58:35.000,"19.34916"
PowerBi.COU1-RCT-CU,2025-05-31 23:06:35.000,2025-06-01 01:06:35.000,"80.13921"
PowerBi.COU1CD2001CU,2025-05-31 23:06:35.000,2025-06-01 01:06:35.000,"0.4002511"
